George Washington	1789-04-30 1790-01-08 1790-12-08 1791-10-25 1792-11-06 1793-03-04 1793-12-03 1794-11-19 1795-12-08 1796-12-07
John Adams	1797-03-04 1797-11-22 1798-12-08 1799-12-03 1800-11-22
Thomas Jefferson	1801-03-04 1801-12-08 1802-12-15 1803-10-17 1804-11-08 1805-03-04 1805-12-03 1806-12-02 1807-10-27 1808-11-08
James Madison	1809-03-04 1809-11-29 1810-12-05 1811-11-05 1812-11-04 1813-03-04 1813-12-07 1814-09-20 1815-12-05 1816-12-03
James Monroe	1817-03-04 1817-12-12 1818-11-16 1819-12-07 1820-11-14 1821-03-05 1821-12-03 1822-12-03 1823-12-02 1824-12-07
John Quincy Adams	1825-03-04 1825-12-06 1826-12-05 1827-12-04 1828-12-02
Andrew Jackson	1829-03-04 1829-12-08 1830-12-06 1831-12-06 1832-12-04 1833-03-04 1833-12-03 1834-12-01 1835-12-07 1836-12-05
Martin Van Buren	1837-03-04 1837-12-05 1838-12-03 1839-12-02 1840-12-05
William Harrison	1841-03-04
John Tyler	1841-12-07 1842-12-06 1843-12-05 1844-12-03
James Polk	1845-03-04 1845-12-02 1846-12-08 1847-12-07 1848-12-05
Zachary Taylor	1849-03-05 1849-12-04
Millard Fillmore	1850-12-02 1851-12-02 1852-12-06
Franklin Pierce	1853-03-04 1853-12-05 1854-12-04 1855-12-31 1856-12-02
James Buchanan	1857-03-04 1857-12-08 1858-12-06 1859-12-19 1860-12-03
Abraham Lincoln	1861-03-04 1861-12-03 1862-12-01 1863-12-08 1864-12-06 1865-03-04
Andrew Johnson	1865-12-04
Ulysses Grant	1869-03-04 1869-12-06 1870-12-05 1871-12-04 1872-12-02 1873-03-04 1873-12-01 1874-12-07 1875-12-07 1876-12-05
Rutherford Hayes	1877-03-05 1877-12-03 1878-12-02 1879-12-01 1880-12-06
James Garfield	1881-03-04
Chester Arthur	1881-12-06 1882-12-04 1883-12-04 1884-12-01
Grover Cleveland	1885-03-04 1885-12-08 1886-12-06 1887-12-06 1888-12-03 1893-03-04 1893-12-04 1894-12-03 1895-12-02 1896-12-07
Benjamin Harrison	1889-03-04 1889-12-03 1890-12-01 1891-12-09 1892-12-06
William McKinley	1897-03-04 1897-12-06 1898-12-05 1899-12-05 1900-12-03 1901-03-04
Theodore Roosevelt	1901-12-03 1902-12-02 1903-12-07 1904-12-06 1905-03-04 1905-12-05 1906-12-03 1907-12-03 1908-12-09
William Taft	1909-03-04 1909-12-07 1910-12-06 1911-12-05 1912-12-03
Woodrow Wilson	1913-03-04 1913-12-02 1914-12-08 1915-12-07 1916-12-05 1917-03-05 1917-12-04 1918-12-02 1919-12-02 1920-12-07
Warren Harding	1921-03-04 1921-12-06 1922-12-08
Calvin Coolidge	1923-12-06 1924-12-03 1925-03-04 1925-12-08 1926-12-07 1927-12-06 1928-12-04
Herbert Hoover	1929-03-04
Franklin Roosevelt	1933-03-04 1937-01-20 1941-01-06 1941-01-20 1943-01-07 1944-01-11 1945-01-20
Harry Truman	1949-01-20
Dwight Eisenhower	1953-01-20
John Kennedy	1961-01-20 1962-01-11 1963-01-14
Lyndon Johnson	1964-01-08 1965-01-04 1965-01-20 1966-01-12 1967-01-10 1968-01-17 1969-01-14
Richard Nixon	1969-01-20 1970-01-22 1971-01-22 1971-02-25 1972-01-20 1973-01-20 1974-01-30
Gerald Ford	1975-01-15 1976-01-19 1977-01-12
Jimmy Carter	1977-01-20 1978-01-19 1979-01-23 1980-01-23
Ronald Reagan	1981-01-20 1981-06-29 1982-01-26 1983-01-25 1984-01-25 1985-01-21 1985-02-06 1986-02-04 1987-01-27 1988-01-25
George H W Bush	1989-01-20 1990-01-31 1991-01-29 1992-01-28
Bill Clinton	1993-01-20 1994-01-25 1995-01-24 1996-01-23 1997-01-20 1997-02-04 1998-01-27 1999-01-19 2000-01-27
George W Bush	2001-01-20 2002-01-29 2003-01-28 2004-01-20 2005-01-20 2005-02-02 2006-01-31 2007-01-23 2008-01-28
Barack Obama	2009-01-20 2010-01-27
